space,,,,,,,,,,,,,,,,,,,
addDoctor,1,Ahmed,Abom,20/03/1980,Jerusalem,54893265,Ahmed.Abom@mail.com,M,14/03/2007,15000,54893265,TRUE,Neurology,,,,,,
addDoctor,2,Hasan,Abom,25/07/1987,Northern,54893265,Hasan.Abom@mail.com,F,18/07/2014,15000,54893266,TRUE,Other,,,,,,
addDoctor,3,Alaa,Ganaem,10/10/1965,Jerusalem,54893265,Alaa.Ganaem@mail.com,O,03/10/1992,15000,54893267,TRUE,Cardiology,,,,,,
addDoctor,4,Eyad,Cantor,20/09/1962,JudeaAndSamaria,54893265,Eyad.Cantor@mail.com,M,13/09/1989,15000,54893268,TRUE,Otolaryngology,,,,,,
addDoctor,5,David,Abom,27/11/1975,Northern,54893265,David.Abom@mail.com,F,20/11/2002,15000,54893269,TRUE,Orthopedics,,,,,,
addDoctor,6,Ilan,Abom,20/09/1983,Jerusalem,54893265,Ilan.Abom@mail.com,F,13/09/2010,15000,54893270,TRUE,Surgery,,,,,,
addDoctor,7,Ron,Ganaem,20/12/1971,TelAviv,54893265,Ron.Ganaem@mail.com,M,13/12/1998,15000,54893271,TRUE,Ophthalmology,,,,,,
addDoctor,8,Neta,Baum,31/03/1978,Be'erSheva,54893265,Neta.Baum@mail.com,M,12/01/1997,15000,54893272,TRUE,Pulmonology,,,,,,
addDoctor,9,Maria,Baum,04/08/1985,TelAviv,54893265,Maria.Baum@mail.com,F,12/02/1995,15000,54893273,TRUE,IntensiveCare,,,,,,
addDoctor,10,Hosni,Baum,21/10/1963,Haifa,54893265,Hosni.Baum@mail.com,O,14/03/1993,15000,54893274,TRUE,Neurology,,,,,,
addDoctor,11,Soher,Baum,30/09/1960,Haifa,54893265,Soher.Baum@mail.com,M,14/04/1991,15000,54893275,FALSE,Other,,,,,,
addDoctor,12,Gameel,Cantor,07/12/1973,Jerusalem,54893265,Gameel.Cantor@mail.com,F,14/05/1989,15000,54893276,TRUE,Cardiology,,,,,,
addDoctor,13,Lama,Baum,30/09/1981,Northern,54893265,Lama.Baum@mail.com,F,14/06/1987,15000,54893277,TRUE,Otolaryngology,,,,,,
addDoctor,20,Ahmed,Baum,11/10/1979,TelAviv,54893265,Ahmed.Baum@mail.com,F,13/01/1974,15000,54893284,TRUE,Other,,,,,,
addDoctor,21,Hosni,Ganaem,05/12/1964,Jerusalem,54893265,Hosni.Ganaem@mail.com,O,29/11/1991,15000,54893285,TRUE,Cardiology,,,,,,
addDoctor,22,Soher,Abom,09/09/1991,TelAviv,54893265,Soher.Abom@mail.com,M,02/09/2018,15000,54893286,TRUE,Otolaryngology,,,,,,
addDoctor,23,Gameel,Ganaem,27/07/1991,Central,54893265,Gameel.Ganaem@mail.com,F,20/07/2018,15000,54893287,TRUE,Orthopedics,,,,,,
addNurse,24,Lama,Abom,10/08/1986,Haifa,54893265,Lama.Abom@mail.com,F,03/08/2013,15000,54893288,,,,,,,,
addNurse,25,Ali,Ganaem,27/10/1987,Haifa,54893265,Ali.Ganaem@mail.com,M,20/10/2014,15000,54893289,,,,,,,,
addNurse,26,Idan,Abom,20/09/1975,Be'erSheva,54893265,Idan.Abom@mail.com,O,13/09/2002,15000,54893290,,,,,,,,
addNurse,27,Tomer,Ganaem,26/09/1987,TelAviv,54893265,Tomer.Ganaem@mail.com,M,19/09/2014,15000,54893291,,,,,,,,
addNurse,28,Hasan,Abom,27/07/1991,Haifa,54893265,Hasan.Abom@mail.com,F,20/07/2018,15000,54893292,,,,,,,,
addNurse,32,Ahmed,Abom,13/04/1988,TelAviv,54893265,Ahmed.Abom@mail.com,F,07/04/2015,15000,54893296,,,,,,,,
addNurse,33,Adan,Ganaem,14/09/1989,Be'erSheva,54893265,Adan.Ganaem@mail.com,M,05/05/2024,15000,54893297,,,,,,,,
,,,,,,,,,,,,,,,,,,,
addDepartment,1,Neurology,1,western wing,Neurology,,,,,,,,,,,,,,tramadol hydrochloride 100 MG/ML Oral Solution
addDepartment,2,Other,2,Eastern wing,Other,,,,,,,,,,,,,,aspirin 100 MG Oral Tablet
addDepartment,3,Cardiology,3,North wing,Cardiology,,,,,,,,,,,,,,albuterol 5 MG/ML Inhalation Solution [Ventolin]
addDepartment,4,Otolaryngology,4,Entrance,Otolaryngology,,,,,,,,,,,,,,Cefazolin 1000 MG Injection [CEFAMEZIN]
addDepartment,5,Orthopedics,5,south wing,Orthopedics,,,,,,,,,,,,,,sitagliptin 25 MG Oral Tablet [Januvia]
addDepartment,6,Surgery,6,western wing,Surgery,,,,,,,,,,,,,,Amlodipine 5 MG Oral Tablet [AMLODIPINE TEVA] by TEVA
addDepartment,7,Ophthalmology,7,Eastern wing,Ophthalmology,,,,,,,,,,,,,,amlodipine 5 MG
addDepartment,8,Pulmonology,8,North wing,Pulmonology,,,,,,,,,,,,,,3 ML insulin glargine 100 UNT/ML Pen Injector [Lantus]
addDepartment,9,IntensiveCare,9,Entrance,IntensiveCare,,,,,,,,,,,,,,repaglinide 1 MG Oral Tablet [NovoNorm]
,,,,,,,,,,,,,,,,,,,"Insulin, Aspart, Human 100 UNT/ML Pen Injector [Novorapid]"
addIntensiveCareDoctor,14,Ali,Baum,30/12/1969,Jerusalem,54893265,Ali.Baum@mail.com,M,14/07/1985,15000,54893278,TRUE,,,,,,,calcium carbonate 750 MG Chewable Tablet
addIntensiveCareDoctor,15,Idan,Baum,10/04/1976,JudeaAndSamaria,54893265,Idan.Baum@mail.com,M,14/08/1983,15000,54893279,TRUE,,,,,,,calcium carbonate 750 MG
addIntensiveCareDoctor,16,Tomer,Cantor,15/08/1983,Northern,54893265,Tomer.Cantor@mail.com,F,13/09/1981,15000,54893280,TRUE,,,,,,,oxycodone hydrochloride 20 MG Extended Release Oral Tablet [Oxycontin]
addIntensiveCareDoctor,17,Hasan,Baum,31/10/1961,Jerusalem,54893265,Hasan.Baum@mail.com,O,14/10/1979,15000,54893281,FALSE,,,,,,,mycophenolate mofetil 250 MG Oral Capsule by Medihealth
addIntensiveCareDoctor,18,Shadi,Baum,11/10/1958,TelAviv,54893265,Shadi.Baum@mail.com,M,13/11/1977,15000,54893282,TRUE,,,,,,,ramipril 1.25 MG Oral Capsule
addIntensiveCareDoctor,19,Seba,Cantor,18/12/1971,Jerusalem,54893265,Seba.Cantor@mail.com,F,14/12/1975,15000,54893283,TRUE,,,,,,,zinc sulfate 220 MG Oral Tablet
addIntensiveCareNurse,29,Shadi,Ganaem,10/12/1968,Haifa,54893265,Shadi.Ganaem@mail.com,O,04/12/1995,15000,54893293,,,,,,,,Dobutamine 250 MG Injection
addIntensiveCareNurse,30,Seba,Abom,12/06/1988,Be'erSheva,54893265,Seba.Abom@mail.com,F,06/06/2015,15000,54893294,,,,,,,,desmopressin acetate 0.004 MG/ML Injectable Solution
addIntensiveCareNurse,31,Mohammed,Cantor,23/08/1991,Haifa,54893265,Mohammed.Cantor@mail.com,O,16/08/2018,15000,54893295,,,,,,,,topiramate 200 MG Oral Tablet [Topamax]
,,,,,,,,,,,,,,,,,,,"250 ML Albumin Human, USP 45 MG/ML Injectable Solution [Human Albumin Biotest]"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
addDoctorToDepartment,1,1,,,,,,,,,,,,,,,,,
addDoctorToDepartment,2,2,,,,,,,,,,,,,,,,,
addDoctorToDepartment,3,3,,,,,,,,,,,,,,,,,
addDoctorToDepartment,4,4,,,,,,,,,,,,,,,,,
addDoctorToDepartment,5,5,,,,,,,,,,,,,,,,,
addDoctorToDepartment,6,6,,,,,,,,,,,,,,,,,
addDoctorToDepartment,7,7,,,,,,,,,,,,,,,,,
addDoctorToDepartment,8,8,,,,,,,,,,,,,,,,,
addDoctorToDepartment,9,9,,,,,,,,,,,,,,,,,
addDoctorToDepartment,1,10,,,,,,,,,,,,,,,,,
addDoctorToDepartment,2,11,,,,,,,,,,,,,,,,,
addDoctorToDepartment,3,12,,,,,,,,,,,,,,,,,
addDoctorToDepartment,4,13,,,,,,,,,,,,,,,,,
addDoctorToDepartment,5,14,,,,,,,,,,,,,,,,,
addDoctorToDepartment,6,15,,,,,,,,,,,,,,,,,
addDoctorToDepartment,7,16,,,,,,,,,,,,,,,,,
addDoctorToDepartment,8,17,,,,,,,,,,,,,,,,,
addDoctorToDepartment,9,18,,,,,,,,,,,,,,,,,
addDoctorToDepartment,1,19,,,,,,,,,,,,,,,,,
addDoctorToDepartment,2,20,,,,,,,,,,,,,,,,,
